City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
93,Varkkallai,IN,78.58,broken clouds,8.7341,76.7067,Hindustan Beach Retreat
96,Kavaratti,IN,77.77,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
97,Kudahuvadhoo,MV,81.21,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
100,Saquena,PE,86.68,overcast clouds,-4.6667,-73.5167,
102,Ariquemes,BR,78.33,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
106,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
109,Galle,LK,77.49,broken clouds,6.0367,80.217,Amangalla
114,Alyangula,AU,80.22,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
115,Luis Correia,BR,84.2,scattered clouds,-2.8792,-41.6669,Hotel Amarração
116,Picota,PE,88.29,overcast clouds,-6.9197,-76.3304,Hospedaje Vanessa
119,Manokwari,ID,78.35,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
121,Mirante Do Paranapanema,BR,82.33,broken clouds,-22.2919,-51.9064,Pousada Estrela
126,Bengkulu,ID,75.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
130,Coihaique,CL,83.01,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
138,Amahai,ID,78.1,light rain,-3.3333,128.9167,HOTEL ISABELA
141,Bull Savanna,JM,76.87,clear sky,17.8868,-77.5902,Big Red's
144,Manadhoo,MV,80.13,broken clouds,5.7667,73.3833,Bon Abri maldives
148,Maceio,BR,78.24,clear sky,-9.6658,-35.7353,Poutur Pousada
149,Teluk Intan,MY,77.02,overcast clouds,4.0259,101.0213,Angsoka Hotel Teluk Intan
154,Isangel,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
156,Gambela,ET,79.77,broken clouds,8.25,34.5833,Solomon Debebe Hotel
157,Coruripe,BR,80.06,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
164,Kaeo,NZ,75.33,overcast clouds,-35.1,173.7833,Bushido Lodge
167,Road Town,VG,75.24,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
168,Kati,ML,76.41,clear sky,12.7441,-8.0726,Lingot d’or
180,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
181,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
183,Bowen,AU,76.46,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
184,Kirakira,SB,83.75,overcast clouds,-10.4544,161.9205,SanBiz Lodge
187,Sambava,MG,76.24,overcast clouds,-14.2667,50.1667,Melrose
196,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
202,Port Hedland,AU,77.05,thunderstorm with light rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
204,Muisne,EC,80.71,light rain,0.6,-80.0333,Quinta Samay
205,Biak,ID,75.92,overcast clouds,-0.9131,122.8766,Penginapan Kim
209,Morant Bay,JM,82.02,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
217,Ahipara,NZ,75.34,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
218,Axim,GH,78.96,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
230,Ngunguru,NZ,75.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
231,Gbarnga,LR,76.3,clear sky,6.9956,-9.4722,Passion Hotel 2
236,Phuket,TH,77.22,few clouds,8.0,98.25,The Surin
238,Mount Isa,AU,78.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
243,Namatanai,PG,82.9,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
250,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
255,Caraballeda,VE,84.27,broken clouds,10.6112,-66.8522,Hotel 15 Letras
259,Gaoual,GN,81.0,clear sky,11.75,-13.2,Hotel koliba
260,Mazagao,BR,80.65,moderate rain,-0.115,-51.2894,Recanto dos Ferreiras
264,Grand Gaube,MU,79.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
272,Porto Seguro,BR,81.12,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
274,Aquiraz,BR,82.49,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
277,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
278,Trinidad,BO,78.78,broken clouds,-14.8333,-64.9,Hotel Piesta
280,Jacqueville,CI,80.51,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
286,Nisia Floresta,BR,82.78,clear sky,-6.0911,-35.2086,Rancho Crepusculo
290,Norsup,VU,83.44,heavy intensity rain,-16.0667,167.3833,Nabelchel Bungalows
295,Sola,VU,82.92,moderate rain,-13.8833,167.55,Leumerus Bungalows
297,Omboue,GA,78.19,few clouds,-1.5746,9.2618,Hotel Olako
300,Boyolangu,ID,75.09,overcast clouds,-8.1181,111.8935,Yos ega cv
305,Inhambane,MZ,76.57,light rain,-23.865,35.3833,Oceano
312,Luba,GQ,76.89,clear sky,3.4568,8.5547,
315,Tual,ID,82.54,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
318,Lompoc,US,79.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
326,Manavalakurichi,IN,78.89,broken clouds,8.1333,77.3,Jebinrio home
332,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
335,Cayenne,GF,80.1,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
337,Loandjili,CG,77.22,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
338,Kahului,US,83.46,clear sky,20.8947,-156.47,Maui Seaside Hotel
344,Nuqui,CO,84.9,broken clouds,5.7125,-77.2708,Hotel Nuquimar
345,Puerto Lopez,CO,89.53,broken clouds,4.0845,-72.956,Resguardo Indigena Maguare
362,Lae,PG,84.33,overcast clouds,-6.7221,146.9847,Phils Hotel
364,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
374,Murray Bridge,AU,80.38,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
378,Porto Walter,BR,75.56,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
379,Bubaque,GW,77.65,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
382,Lorengau,PG,82.51,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
388,Kanniyakumari,IN,76.51,broken clouds,8.0833,77.5667,Sparsa
393,Gamba,GA,76.68,scattered clouds,-2.65,10.0,
400,Rosarito,MX,81.09,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
402,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
405,Luganville,VU,80.89,moderate rain,-15.5333,167.1667,The Espiritu Hotel
411,Salvador,SV,82.44,broken clouds,13.8333,-88.9167,Chico's Ranch
412,Kavieng,PG,83.01,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
414,Katobu,ID,76.62,broken clouds,-4.9408,122.5276,La Ode Husein
416,Kathu,TH,76.82,broken clouds,7.9178,98.3332,Novotel Phuket Resort
429,Srandakan,ID,76.59,overcast clouds,-7.9386,110.2506,Puri Brata
439,Manggar,ID,77.43,overcast clouds,-2.8833,108.2667,Guest Hotel
440,Kerema,PG,83.43,overcast clouds,-7.9631,145.7785,Frena Lodge
446,Maumere,ID,81.1,few clouds,-8.6199,122.2111,Sylvia Hotel
450,Padang,ID,76.06,overcast clouds,-0.9492,100.3543,Mercure Padang
453,Nanakuli,US,82.35,light intensity drizzle,21.3906,-158.1547,Camp Pālehua
455,Mareeba,AU,75.43,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
461,Illapel,CL,78.55,clear sky,-31.6308,-71.1653,Hotel Londres
470,Kita,ML,75.15,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
471,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
473,Oistins,BB,78.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
478,Gambiran,ID,75.74,overcast clouds,-6.7988,111.4951,GUBUK KU
480,Huixtla,MX,85.68,broken clouds,15.15,-92.4667,Rocky Point Sonoran Sky
484,Ca Mau,VN,76.66,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
486,Lubao,PH,78.82,overcast clouds,14.9167,120.55,Hacienda Gracia
488,San Cosme Y Damian,PY,84.38,clear sky,-27.3167,-56.35,Posada Turística Aguapey
509,Sinnamary,GF,77.86,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
517,Manuk Mangkaw,PH,80.44,broken clouds,4.8,119.85,
519,Vao,NC,80.65,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
525,Cartagena,CO,83.82,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
