City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
136,Yar-Sale,RU,66.8333,70.8333,-10.73,100,85,7.85,overcast clouds
137,Susanville,US,40.4163,-120.653,50.92,37,0,8.01,clear sky
138,Amahai,ID,-3.3333,128.9167,78.1,83,92,4.23,light rain
139,Chiang Rai,TH,19.9167,99.9167,60.78,100,20,0.0,few clouds
140,Balkanabat,TM,39.5108,54.3671,38.21,68,14,4.0,few clouds
141,Bull Savanna,JM,17.8868,-77.5902,76.87,54,2,4.27,clear sky
142,Laguna,US,38.421,-121.4238,71.44,47,0,3.0,clear sky
143,Provideniya,RU,64.3833,-173.3,1.51,66,0,0.0,clear sky
144,Manadhoo,MV,5.7667,73.3833,80.13,74,73,7.92,broken clouds
145,Cherskiy,RU,68.75,161.3,-31.4,100,22,1.77,few clouds
146,Nome,US,64.5011,-165.4064,1.47,55,0,4.61,clear sky
147,Mwanza,TZ,-2.5167,32.9,70.34,64,76,1.95,broken clouds
148,Maceio,BR,-9.6658,-35.7353,78.24,78,0,8.05,clear sky
149,Teluk Intan,MY,4.0259,101.0213,77.02,96,100,3.4,overcast clouds
150,Ust-Koksa,RU,50.2696,85.6108,-4.32,80,48,0.92,scattered clouds
151,Ha Tinh,VN,18.3333,105.9,59.81,92,68,2.19,broken clouds
152,Cibitoke,BI,-2.8833,29.25,60.44,91,100,3.56,light rain
153,Mount Gambier,AU,-37.8333,140.7667,71.53,36,0,6.98,clear sky
154,Isangel,VU,-19.55,169.2667,80.71,94,100,3.44,overcast clouds
155,Ferrandina,IT,40.5012,16.4547,47.07,89,8,2.19,clear sky
156,Gambela,ET,8.25,34.5833,79.77,27,66,1.77,broken clouds
157,Coruripe,BR,-10.1256,-36.1756,80.06,77,1,12.48,clear sky
158,Leningradskiy,RU,69.3833,178.4167,-23.64,99,27,5.12,scattered clouds
159,Ust-Nera,RU,64.5667,143.2,-25.55,81,3,2.55,clear sky
160,Nuevo Progreso,MX,23.1667,-97.95,72.59,41,14,8.99,few clouds
161,Victoria,HK,22.2855,114.1577,61.25,85,100,8.99,overcast clouds
162,Sonda,EE,59.3436,26.8364,31.98,94,100,6.69,overcast clouds
163,Oktyabrskoye,RU,43.0645,44.7417,28.54,100,98,4.47,light snow
164,Kaeo,NZ,-35.1,173.7833,75.33,98,100,4.61,overcast clouds
165,Flores,GT,16.9226,-89.8994,71.42,83,98,2.75,overcast clouds
166,Kruisfontein,ZA,-34.0033,24.7314,71.89,58,100,6.82,overcast clouds
167,Road Town,VG,18.4167,-64.6167,75.24,83,75,18.41,broken clouds
168,Kati,ML,12.7441,-8.0726,76.41,10,0,4.16,clear sky
169,Torbay,CA,47.6666,-52.7314,14.58,77,75,17.27,broken clouds
170,Lagoa,PT,39.05,-27.9833,59.83,86,46,14.97,scattered clouds
171,Jamestown,US,42.097,-79.2353,33.71,32,0,10.36,clear sky
172,Challans,FR,46.8436,-1.8749,53.51,89,97,21.9,overcast clouds
173,Garowe,SO,8.4054,48.4845,68.47,66,100,10.67,overcast clouds
174,Pringsewu,ID,-5.3582,104.9744,71.85,97,100,2.57,overcast clouds
175,Katsuura,JP,35.1333,140.3,35.71,49,40,11.7,scattered clouds
176,Christchurch,NZ,-43.5333,172.6333,62.01,65,75,4.0,broken clouds
177,Bredasdorp,ZA,-34.5322,20.0403,67.28,88,0,2.3,clear sky
178,San Cristobal,VE,7.7669,-72.225,73.58,62,81,1.16,broken clouds
179,Karacakoy,TR,41.4029,28.3834,44.64,79,4,8.61,clear sky
180,Salalah,OM,17.0151,54.0924,77.09,31,0,10.36,clear sky
181,Tiarei,PF,-17.5333,-149.3333,86.02,73,40,21.63,light rain
182,Orodara,BF,10.9492,-4.9342,73.99,14,0,3.2,clear sky
183,Bowen,AU,-20.0167,148.2333,76.46,70,45,12.77,scattered clouds
184,Kirakira,SB,-10.4544,161.9205,83.75,80,97,10.36,overcast clouds
185,Kasongo,CD,-4.45,26.6667,67.66,98,100,3.44,light rain
186,Oshakati,NA,-17.7833,15.6833,73.42,77,100,5.12,moderate rain
187,Sambava,MG,-14.2667,50.1667,76.24,88,86,5.23,overcast clouds
188,Raudeberg,NO,61.9875,5.1352,38.07,89,85,8.01,overcast clouds
189,Skjervoy,NO,70.0311,20.9714,28.15,67,63,16.49,broken clouds
190,Bluff,NZ,-46.6,168.3333,56.8,63,1,7.67,clear sky
191,Lavrentiya,RU,65.5833,-171.0,-11.72,92,15,6.33,few clouds
192,Mount Pleasant,US,32.7941,-79.8626,47.08,71,100,5.99,overcast clouds
193,Pareora,NZ,-44.4871,171.2132,58.26,69,100,11.05,overcast clouds
194,Orasac,BA,44.6289,16.0711,46.9,90,100,14.47,overcast clouds
195,Bundaberg,AU,-24.85,152.35,71.22,80,38,5.99,scattered clouds
196,Ahuimanu,US,21.4447,-157.8378,82.11,70,75,8.01,broken clouds
197,Keningau,MY,5.3378,116.1602,72.05,99,99,2.62,overcast clouds
198,Ancud,CL,-41.8697,-73.8203,71.42,70,8,7.47,clear sky
199,Dakar,SN,14.6937,-17.4441,70.68,78,0,15.97,clear sky
200,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,66,40,17.0,scattered clouds
201,Ubinskoye,RU,55.3068,79.6802,-3.95,93,100,2.26,overcast clouds
202,Port Hedland,AU,-20.3167,118.5667,77.05,100,40,3.44,thunderstorm with light rain
203,Margate,GB,51.3813,1.3862,44.96,65,66,17.0,broken clouds
204,Muisne,EC,0.6,-80.0333,80.71,79,70,8.46,light rain
205,Biak,ID,-0.9131,122.8766,75.92,81,100,1.92,overcast clouds
206,East London,ZA,-33.0153,27.9116,72.82,84,24,15.79,few clouds
207,Ponta Do Sol,PT,32.6667,-17.1,63.23,71,10,12.37,clear sky
208,Havoysund,NO,70.9963,24.6622,25.68,79,21,16.37,few clouds
209,Morant Bay,JM,17.8815,-76.4093,82.02,69,4,7.94,clear sky
210,Carnarvon,AU,-24.8667,113.6333,71.67,64,11,21.56,few clouds
211,Yulara,AU,-25.2406,130.9889,71.44,46,0,8.05,clear sky
212,Rudbar,AF,30.15,62.6,53.29,29,0,7.45,clear sky
213,Portland,US,45.5234,-122.6762,63.59,66,40,1.01,scattered clouds
214,Penzance,GB,50.1186,-5.5371,50.77,82,66,23.55,broken clouds
215,Kindia,GN,10.0569,-12.8658,70.05,64,4,4.54,clear sky
216,Pisco,PE,-13.7,-76.2167,69.85,83,39,8.05,mist
217,Ahipara,NZ,-35.1667,173.1667,75.34,93,99,6.49,overcast clouds
218,Axim,GH,4.8699,-2.2405,78.96,84,77,8.59,broken clouds
219,Hamilton,US,39.1834,-84.5333,39.99,61,0,1.01,clear sky
220,Tshela,CD,-4.9833,12.9333,72.28,99,99,1.21,overcast clouds
221,Saint Andrews,US,34.0454,-81.1293,47.98,41,100,8.05,overcast clouds
222,Tiksi,RU,71.6872,128.8694,-15.79,99,100,4.83,overcast clouds
223,Tarko-Sale,RU,64.9225,77.785,-25.29,100,74,4.52,broken clouds
224,Gorom-Gorom,BF,14.4439,-0.2361,71.91,11,0,9.64,clear sky
225,Atar,MR,20.5169,-13.0499,73.53,10,0,5.41,clear sky
226,Curup,ID,-3.4667,102.5333,66.65,97,100,2.84,overcast clouds
227,Ostrovnoy,RU,68.0531,39.5131,14.47,86,99,21.0,overcast clouds
228,Ilulissat,GL,69.2167,-51.1,1.42,71,100,8.05,overcast clouds
229,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,68,75,14.97,broken clouds
230,Ngunguru,NZ,-35.6167,174.5,75.16,98,100,5.88,overcast clouds
231,Gbarnga,LR,6.9956,-9.4722,76.3,80,1,4.72,clear sky
232,La Ronge,CA,55.1001,-105.2842,10.65,85,100,10.36,snow
233,Norman Wells,CA,65.282,-126.8329,-12.96,64,75,19.57,broken clouds
234,Muscatine,US,41.4667,-91.1335,44.19,59,20,7.0,few clouds
235,Ozernovskiy,RU,51.5,156.5167,26.91,77,100,12.44,overcast clouds
236,Phuket,TH,8.0,98.25,77.22,88,20,3.44,few clouds
237,Ulladulla,AU,-35.35,150.4667,65.3,80,76,11.18,broken clouds
238,Mount Isa,AU,-20.7333,139.5,78.57,65,54,8.05,broken clouds
239,Verkhnyaya Inta,RU,65.9811,60.3094,1.9,86,21,8.79,few clouds
240,Umm Lajj,SA,25.0213,37.2685,65.64,47,0,16.17,clear sky
241,Port Lincoln,AU,-34.7333,135.8667,73.6,59,0,14.25,clear sky
242,Belyy Yar,RU,53.6039,91.3903,-14.91,84,100,4.47,mist
243,Namatanai,PG,-3.6667,152.4333,82.9,71,35,3.74,scattered clouds
244,Moose Factory,CA,51.2585,-80.6094,1.4,78,75,6.91,broken clouds
245,Yerbogachen,RU,61.2767,108.0108,-11.4,100,97,1.72,overcast clouds
246,Ketchikan,US,55.3422,-131.6461,45.07,93,100,18.41,moderate rain
247,Saldanha,ZA,-33.0117,17.9442,66.25,96,25,9.73,scattered clouds
248,Narsaq,GL,60.9167,-46.05,7.02,83,100,1.61,overcast clouds
249,Bethel,US,41.3712,-73.414,28.04,66,86,4.5,overcast clouds
250,Tautira,PF,-17.7333,-149.15,86.02,72,75,21.41,light rain
251,Sadri,IN,25.1833,73.4333,59.58,52,0,4.45,clear sky
252,Katangli,RU,51.7102,143.2326,5.0,84,100,13.24,overcast clouds
253,Nikolskoye,RU,59.7035,30.7861,34.88,95,100,12.24,snow
254,Adrar,MR,20.5022,-10.0711,68.58,10,0,9.55,clear sky
255,Caraballeda,VE,10.6112,-66.8522,84.27,70,75,3.44,broken clouds
256,Rumphi,MW,-11.0186,33.8575,62.69,93,99,1.34,overcast clouds
257,Mineiros,BR,-17.5694,-52.5511,74.17,83,91,2.77,moderate rain
258,Zlitan,LY,32.4674,14.5687,58.91,77,100,5.41,overcast clouds
